Generation,MinFitness,MeanFitness,StdDev
0,1.317829,2.142367,0.287358
1,1.224760,1.859942,0.251464
2,1.066414,1.650768,0.230759
3,1.066414,1.499849,0.202956
4,0.970808,1.401073,0.207838
5,0.917876,1.314934,0.211290
6,0.731401,1.221450,0.213900
7,0.721067,1.100380,0.159505
8,0.621110,1.045802,0.182840
9,0.621110,1.006260,0.196381
10,0.621110,0.965814,0.221867
11,0.613469,0.890789,0.197040
12,0.613469,0.824635,0.191768
13,0.613469,0.821564,0.202312
14,0.609576,0.806788,0.208327
15,0.609576,0.797381,0.200619
16,0.609576,0.789863,0.210246
17,0.607205,0.780889,0.194667
18,0.607205,0.772633,0.180512
19,0.607205,0.766495,0.191253
20,0.607205,0.762073,0.180385
21,0.606587,0.754383,0.184686
22,0.606587,0.762993,0.192016
23,0.606587,0.758812,0.180054
24,0.606587,0.754530,0.177537
25,0.606213,0.752302,0.182980
26,0.605170,0.752705,0.188171
27,0.605170,0.757820,0.180470
28,0.605170,0.780772,0.196830
29,0.605170,0.757068,0.187193
30,0.605170,0.771692,0.187050
31,0.604837,0.771599,0.194618
32,0.604837,0.751193,0.178947
33,0.604240,0.752153,0.189841
34,0.604240,0.760124,0.183992
35,0.604240,0.750650,0.182669
36,0.604240,0.766203,0.194563
37,0.604240,0.726593,0.146269
38,0.604240,0.757127,0.183538
39,0.604024,0.753252,0.183233
40,0.604024,0.752270,0.179751
41,0.603705,0.751674,0.189778
42,0.603705,0.769473,0.201629
43,0.603183,0.764958,0.191434
44,0.603183,0.771263,0.202352
45,0.603183,0.758288,0.186402
46,0.603183,0.765042,0.189587
47,0.603183,0.763480,0.188323
48,0.602643,0.766852,0.190399
49,0.602509,0.769951,0.199634
50,0.602509,0.745504,0.182404
51,0.602509,0.781255,0.216722
52,0.601862,0.773118,0.197325
53,0.601862,0.763854,0.196364
54,0.601862,0.762537,0.191516
55,0.601862,0.751665,0.187452
56,0.601862,0.767005,0.192951
57,0.601761,0.761531,0.195543
58,0.601761,0.761544,0.198532
59,0.601761,0.763530,0.199451
60,0.601761,0.741173,0.180891
61,0.601761,0.761487,0.199232
62,0.601761,0.760150,0.208202
63,0.601761,0.751667,0.194974
64,0.601761,0.756022,0.192594
65,0.601761,0.758058,0.192735
66,0.601761,0.762633,0.215519
67,0.601722,0.768708,0.203043
68,0.601722,0.766725,0.204794
69,0.601722,0.772791,0.195949
70,0.601722,0.791793,0.223264
71,0.601722,0.746841,0.185632
72,0.601722,0.778280,0.218333
73,0.601722,0.760721,0.189420
74,0.601722,0.777576,0.212066
75,0.601722,0.782747,0.217076
76,0.601722,0.763158,0.193233
77,0.601722,0.786154,0.233378
78,0.601722,0.777471,0.204507
79,0.601722,0.770633,0.208986
80,0.601722,0.778634,0.222032
81,0.601722,0.772902,0.215980
82,0.601722,0.779328,0.216189
83,0.601722,0.762501,0.196104
84,0.601634,0.778587,0.212966
85,0.601634,0.782926,0.223924
86,0.601634,0.775748,0.216627
87,0.601634,0.790863,0.227827
88,0.601567,0.772001,0.206401
89,0.601482,0.768236,0.210746
90,0.601482,0.763692,0.207298
91,0.601482,0.751105,0.182102
92,0.601482,0.761770,0.195467
93,0.601482,0.757670,0.186701
94,0.601482,0.758083,0.183738
95,0.601480,0.762415,0.196674
96,0.601480,0.773250,0.191405
97,0.601480,0.787791,0.212741
98,0.601480,0.769857,0.193873
99,0.601275,0.764041,0.194935
100,0.601275,0.753827,0.186066
101,0.601275,0.778348,0.209728
102,0.600859,0.768817,0.196704
103,0.600859,0.771082,0.204163
104,0.600859,0.783415,0.207650
105,0.600423,0.799096,0.223791
106,0.600274,0.789314,0.208657
107,0.600274,0.802637,0.205209
108,0.523565,0.795211,0.207528
109,0.523565,0.811777,0.222273
110,0.523565,0.809579,0.222904
111,0.452778,0.797724,0.223155
112,0.437926,0.819440,0.238900
113,0.437926,0.774613,0.227274
114,0.437926,0.746948,0.242657
115,0.415271,0.714549,0.246614
116,0.415271,0.697129,0.247321
117,0.415271,0.681646,0.234283
118,0.405441,0.697985,0.263149
119,0.388045,0.704664,0.259639
120,0.388045,0.703644,0.279297
121,0.365037,0.688453,0.271788
122,0.365037,0.691951,0.268103
123,0.365037,0.710137,0.290468
124,0.365037,0.681469,0.275980
125,0.365037,0.675842,0.292522
126,0.365037,0.696417,0.286549
127,0.364113,0.720952,0.309637
128,0.355183,0.703307,0.316024
129,0.355183,0.683344,0.298230
130,0.355183,0.691365,0.320109
131,0.354856,0.679074,0.306898
132,0.354856,0.668389,0.303175
133,0.349275,0.682178,0.332305
134,0.349275,0.681691,0.321732
135,0.349275,0.661359,0.321232
136,0.349275,0.706318,0.325971
137,0.349275,0.665188,0.321482
138,0.349275,0.664312,0.315383
139,0.349275,0.667666,0.317567
140,0.336631,0.684581,0.306683
141,0.336631,0.674778,0.316910
142,0.336631,0.656759,0.308532
143,0.336631,0.660091,0.332268
144,0.336631,0.654187,0.326582
145,0.333540,0.666758,0.319675
146,0.333540,0.699526,0.329563
147,0.333540,0.657381,0.325450
148,0.333540,0.685218,0.340064
149,0.333456,0.672893,0.330938
150,0.333456,0.680926,0.333774
151,0.333456,0.652519,0.318404
152,0.333456,0.672994,0.326468
153,0.333456,0.684156,0.337583
154,0.333456,0.672953,0.352248
155,0.333456,0.660909,0.330237
156,0.333387,0.659435,0.339203
157,0.333387,0.659276,0.330671
158,0.333082,0.675877,0.331469
159,0.333082,0.635110,0.311864
160,0.333082,0.661392,0.328315
161,0.333082,0.653950,0.316869
162,0.333082,0.637469,0.307472
163,0.333082,0.629177,0.314640
164,0.333004,0.648495,0.316642
165,0.330861,0.646844,0.326277
166,0.330861,0.665020,0.324977
167,0.330861,0.654848,0.319519
168,0.330861,0.629303,0.308218
169,0.327374,0.659264,0.324810
170,0.327374,0.660235,0.328674
171,0.327374,0.666280,0.332757
172,0.327374,0.673458,0.332240
173,0.327325,0.669327,0.321403
174,0.327325,0.642248,0.313906
175,0.327325,0.652542,0.310135
176,0.327325,0.658851,0.317223
177,0.327325,0.676255,0.322212
178,0.327325,0.692473,0.331824
179,0.327054,0.648347,0.328872
180,0.327054,0.631708,0.324012
181,0.327054,0.684427,0.337137
182,0.326874,0.644538,0.324048
183,0.326816,0.666157,0.330562
184,0.326816,0.641193,0.309300
185,0.326816,0.679699,0.333431
186,0.324509,0.669007,0.329082
187,0.324509,0.685429,0.334052
188,0.324509,0.651772,0.317098
189,0.324509,0.641273,0.309756
190,0.323947,0.636614,0.310258
191,0.323947,0.651957,0.323319
192,0.323947,0.626911,0.308388
193,0.323764,0.643374,0.325741
194,0.323764,0.648225,0.319065
195,0.322790,0.640095,0.309713
196,0.322790,0.636471,0.313994
197,0.322790,0.655968,0.325875
198,0.322533,0.636971,0.316723
199,0.322533,0.641306,0.315119
200,0.322533,0.658486,0.330997
201,0.321340,0.660060,0.326276
202,0.321340,0.628216,0.321882
203,0.320772,0.621173,0.314758
204,0.320772,0.632536,0.312912
205,0.320772,0.629931,0.304819
206,0.320772,0.622062,0.314537
207,0.320772,0.626301,0.317074
208,0.320772,0.628129,0.310016
209,0.320772,0.637845,0.323984
210,0.320772,0.636875,0.313832
211,0.320772,0.597200,0.311789
212,0.320772,0.615433,0.313592
213,0.320772,0.626717,0.320432
214,0.320772,0.612426,0.308925
215,0.320772,0.646339,0.330790
216,0.320772,0.637468,0.331431
217,0.320772,0.635376,0.318555
218,0.320772,0.636911,0.316934
219,0.320772,0.611899,0.307001
220,0.320585,0.602755,0.300365
221,0.320585,0.631216,0.321712
222,0.320585,0.630088,0.330665
223,0.320585,0.643903,0.336894
224,0.320585,0.628502,0.326393
225,0.320585,0.652164,0.321604
226,0.319658,0.660007,0.331983
227,0.319658,0.641980,0.314244
228,0.319658,0.658872,0.339759
229,0.319658,0.642216,0.328590
230,0.319474,0.640766,0.334932
231,0.319474,0.627174,0.315920
232,0.319474,0.644066,0.319368
233,0.319474,0.629803,0.314795
234,0.319474,0.640598,0.328064
235,0.319474,0.656823,0.326720
236,0.319474,0.651382,0.333722
237,0.319474,0.634800,0.328904
238,0.319474,0.628148,0.324482
239,0.319474,0.642152,0.319123
240,0.319474,0.621805,0.319203
241,0.319474,0.647441,0.335865
242,0.319474,0.635051,0.327512
243,0.319474,0.665712,0.333124
244,0.319474,0.602105,0.314723
245,0.319474,0.637139,0.326210
246,0.319474,0.636763,0.331328
247,0.319474,0.647863,0.316619
248,0.319474,0.633331,0.308523
249,0.319474,0.655065,0.322579
250,0.319474,0.642997,0.328476
251,0.319474,0.629429,0.317433
252,0.319474,0.618196,0.318505
253,0.319474,0.643255,0.344634
254,0.319474,0.641011,0.318573
255,0.319474,0.641291,0.313538
256,0.319474,0.622829,0.323431
257,0.319432,0.657147,0.331530
258,0.319408,0.633365,0.315169
259,0.319408,0.641792,0.345669
260,0.319408,0.657622,0.346996
261,0.319408,0.638321,0.325396
262,0.319340,0.619764,0.316297
263,0.319340,0.633664,0.332744
264,0.319340,0.647785,0.342409
265,0.319340,0.632602,0.311485
266,0.319340,0.648919,0.319055
267,0.319340,0.640767,0.304575
268,0.319340,0.641935,0.340668
269,0.319340,0.661347,0.333349
270,0.319340,0.661053,0.334246
271,0.319340,0.659562,0.335156
272,0.319340,0.624186,0.316669
273,0.319340,0.660048,0.340260
274,0.319340,0.619895,0.309142
275,0.319340,0.674160,0.339295
276,0.319340,0.667545,0.327430
277,0.319340,0.644443,0.316732
278,0.319340,0.649891,0.329884
279,0.319340,0.646397,0.326861
280,0.319325,0.640862,0.320369
281,0.319325,0.623094,0.311137
282,0.319325,0.640286,0.324350
283,0.319325,0.647665,0.329576
284,0.319325,0.668133,0.336349
285,0.319325,0.644620,0.323348
286,0.319254,0.663296,0.329826
287,0.319254,0.657353,0.334581
288,0.319254,0.612184,0.302852
289,0.319254,0.653263,0.323467
290,0.319254,0.656196,0.334208
291,0.319254,0.637974,0.310051
292,0.319254,0.651647,0.327570
293,0.319254,0.620417,0.322942
294,0.319254,0.663147,0.326809
295,0.319254,0.625282,0.310267
296,0.319254,0.623308,0.311405
297,0.319254,0.617342,0.314243
298,0.319254,0.623324,0.306251
299,0.319037,0.620922,0.317446
