Generation,MinFitness,MeanFitness,StdDev
0,0.909356,1.103201,0.082961
1,0.809356,1.069484,0.066610
2,0.759356,1.061626,0.075937
3,0.709356,1.066207,0.102367
4,0.709356,1.044990,0.101515
5,0.709356,1.046211,0.126068
6,0.659356,1.029917,0.142440
7,0.659356,1.016963,0.160385
8,0.609356,1.003651,0.166233
9,0.609356,0.975288,0.179828
10,0.609356,0.930228,0.190877
11,0.609356,0.913225,0.200348
12,0.609356,0.887841,0.201956
13,0.609356,0.878782,0.210733
14,0.609356,0.874367,0.221454
15,0.609356,0.858710,0.220611
16,0.609356,0.861204,0.220592
17,0.609356,0.852205,0.225582
18,0.609356,0.837299,0.220187
19,0.608312,0.846049,0.224153
20,0.608312,0.851335,0.222288
21,0.608312,0.862621,0.221831
22,0.608312,0.849716,0.217288
23,0.596664,0.866657,0.226096
24,0.596664,0.849198,0.220404
25,0.596664,0.840754,0.220417
26,0.594878,0.838166,0.216055
27,0.579771,0.853633,0.219047
28,0.579771,0.875426,0.221806
29,0.415415,0.849180,0.220339
30,0.415415,0.841706,0.220270
31,0.415415,0.831348,0.216381
32,0.415415,0.829698,0.221292
33,0.369471,0.833598,0.223158
34,0.337671,0.825076,0.225259
35,0.337671,0.808936,0.225172
36,0.337671,0.803756,0.229200
37,0.337671,0.787954,0.242546
38,0.337544,0.796640,0.253635
39,0.337544,0.783089,0.271933
40,0.336861,0.754785,0.284865
41,0.335949,0.742013,0.289461
42,0.326421,0.692253,0.300881
43,0.322517,0.692738,0.304627
44,0.322517,0.701462,0.298202
45,0.322517,0.706995,0.304164
46,0.317592,0.690096,0.305580
47,0.317592,0.679488,0.320972
48,0.317592,0.660351,0.314594
49,0.317592,0.702077,0.318866
50,0.317592,0.699207,0.311965
51,0.308344,0.686249,0.316180
52,0.308344,0.674359,0.305059
53,0.308344,0.697414,0.315165
54,0.308344,0.684150,0.314246
55,0.308344,0.671524,0.316619
56,0.308344,0.696340,0.322799
57,0.308344,0.660961,0.314099
58,0.308344,0.683296,0.320234
59,0.308344,0.684137,0.319331
60,0.308344,0.666212,0.316116
61,0.284192,0.678174,0.323895
62,0.284192,0.681306,0.321277
63,0.284192,0.668338,0.316631
64,0.284192,0.657019,0.315873
65,0.284192,0.703101,0.322436
66,0.284192,0.665078,0.315931
67,0.284192,0.673639,0.326419
68,0.284192,0.656712,0.318561
69,0.284192,0.653985,0.315917
70,0.284192,0.652698,0.328269
71,0.284192,0.647862,0.317119
72,0.284192,0.656436,0.318000
73,0.282954,0.697836,0.317664
74,0.282954,0.643562,0.315886
75,0.282954,0.660831,0.322106
76,0.282954,0.651972,0.323552
77,0.282954,0.641362,0.310360
78,0.282954,0.702886,0.320854
79,0.282954,0.681828,0.322140
80,0.282954,0.650999,0.312335
81,0.282954,0.630724,0.315227
82,0.282954,0.634813,0.318669
83,0.282954,0.639183,0.306261
84,0.282954,0.667076,0.324256
85,0.282954,0.673460,0.329377
86,0.282954,0.644442,0.324006
87,0.282954,0.629163,0.318574
88,0.282954,0.643302,0.312722
89,0.282954,0.621848,0.312883
90,0.282954,0.663565,0.330249
91,0.282954,0.634133,0.319400
92,0.282954,0.665013,0.312171
93,0.282954,0.672580,0.317379
94,0.282954,0.636093,0.322029
95,0.282954,0.623001,0.314558
96,0.282954,0.668132,0.329569
97,0.282954,0.669462,0.323754
98,0.282954,0.693350,0.319693
99,0.282954,0.676691,0.327945
100,0.282954,0.690774,0.335278
101,0.282954,0.673895,0.333569
102,0.282954,0.685953,0.332601
103,0.282954,0.715106,0.329815
104,0.282954,0.673660,0.335104
105,0.282954,0.675614,0.329833
106,0.282954,0.689558,0.327927
107,0.282954,0.706366,0.322115
108,0.282954,0.697565,0.338462
109,0.282954,0.662581,0.326677
110,0.282954,0.690526,0.331854
111,0.282954,0.693005,0.321238
112,0.282954,0.697113,0.333198
113,0.282954,0.696296,0.327709
114,0.282954,0.666155,0.333258
115,0.282954,0.707579,0.334842
116,0.282954,0.698460,0.327209
117,0.282954,0.675842,0.325100
118,0.282954,0.719119,0.328321
119,0.282954,0.695336,0.321150
120,0.282954,0.690527,0.326181
121,0.282954,0.697188,0.326220
122,0.282954,0.679806,0.337260
123,0.282954,0.705866,0.336394
124,0.282954,0.685752,0.332792
125,0.282954,0.684711,0.347059
126,0.282954,0.725600,0.336179
127,0.282954,0.711637,0.324520
128,0.282954,0.721009,0.332450
129,0.282954,0.713605,0.332009
130,0.282954,0.717632,0.335071
131,0.282954,0.726385,0.338087
132,0.282954,0.688705,0.332148
133,0.282954,0.688707,0.335334
134,0.282954,0.680559,0.327857
135,0.282954,0.675861,0.337522
136,0.282954,0.665054,0.337889
137,0.282954,0.711591,0.338929
138,0.282954,0.661173,0.337913
139,0.282954,0.688985,0.335988
140,0.282954,0.694637,0.340627
141,0.282954,0.684315,0.338049
142,0.282954,0.712122,0.330505
143,0.282954,0.692082,0.329551
144,0.282954,0.699804,0.332680
145,0.282954,0.709282,0.332384
146,0.282954,0.676832,0.330251
147,0.282954,0.678088,0.329574
148,0.282954,0.675560,0.334396
149,0.282954,0.689677,0.335270
150,0.282954,0.683337,0.334267
151,0.282954,0.702492,0.328862
152,0.282954,0.702912,0.324811
153,0.282954,0.687111,0.327593
154,0.282954,0.664898,0.330564
155,0.282954,0.679615,0.336013
156,0.282954,0.689015,0.338598
157,0.282954,0.695140,0.331317
158,0.282954,0.730748,0.334336
159,0.282954,0.695648,0.340202
160,0.282954,0.710580,0.338892
161,0.282954,0.700138,0.340226
162,0.282954,0.705353,0.345362
163,0.282954,0.686428,0.338950
164,0.282954,0.713467,0.338423
165,0.282954,0.716720,0.337241
166,0.282954,0.717631,0.328090
167,0.282954,0.704478,0.336456
168,0.282954,0.698437,0.338321
169,0.282954,0.704867,0.335561
170,0.282954,0.701460,0.335223
171,0.282954,0.733584,0.328589
172,0.282954,0.689414,0.338945
173,0.282954,0.714456,0.339463
174,0.282954,0.728937,0.332444
175,0.282954,0.720672,0.328735
176,0.282954,0.705185,0.327447
