Generation,MinFitness,MeanFitness,StdDev
0,0.383143,0.645206,0.143183
1,0.369601,0.536020,0.124943
2,0.367253,0.481476,0.105389
3,0.349550,0.475683,0.117684
4,0.344611,0.466067,0.111564
5,0.344611,0.458420,0.121876
6,0.344611,0.442859,0.113007
7,0.336559,0.432809,0.110107
8,0.336559,0.428822,0.114303
9,0.325069,0.435317,0.130300
10,0.325069,0.423403,0.118073
11,0.325069,0.419770,0.122094
12,0.325069,0.408060,0.111505
13,0.325069,0.417814,0.124084
14,0.323016,0.429343,0.143324
15,0.323016,0.414984,0.131500
16,0.321094,0.402947,0.120176
17,0.321094,0.411285,0.137425
18,0.321094,0.419521,0.145238
19,0.316488,0.417429,0.152257
20,0.314663,0.428136,0.158686
21,0.314663,0.423388,0.154789
22,0.314663,0.411542,0.148615
23,0.314551,0.396192,0.129885
24,0.314551,0.404645,0.144954
25,0.314551,0.393574,0.137675
26,0.313079,0.397770,0.146505
27,0.313079,0.392444,0.137779
28,0.310819,0.388746,0.130220
29,0.310819,0.391292,0.134744
30,0.310819,0.397944,0.145880
31,0.310819,0.395697,0.145813
32,0.310809,0.396051,0.144553
33,0.310686,0.395966,0.142858
34,0.310686,0.402635,0.153595
35,0.310686,0.404474,0.154982
36,0.310686,0.393907,0.147883
37,0.310686,0.409832,0.162466
38,0.310686,0.401398,0.150610
39,0.310686,0.408089,0.155273
40,0.310686,0.420382,0.170364
41,0.308043,0.409666,0.160193
42,0.308043,0.407199,0.153961
43,0.308043,0.394102,0.139328
44,0.308043,0.403887,0.145318
45,0.308043,0.398657,0.142014
46,0.308043,0.399998,0.143797
47,0.308043,0.391522,0.144817
48,0.308043,0.390911,0.133392
49,0.308043,0.395519,0.147418
50,0.308043,0.386488,0.128577
51,0.308043,0.391480,0.139027
52,0.308043,0.394369,0.140436
53,0.308043,0.397593,0.142421
54,0.308043,0.400609,0.149432
55,0.308043,0.394295,0.150665
56,0.308043,0.399990,0.141074
57,0.308043,0.391396,0.140818
58,0.308043,0.390509,0.131091
59,0.308043,0.395280,0.144615
60,0.308043,0.387977,0.133296
61,0.308043,0.394230,0.138418
62,0.308043,0.378130,0.114899
63,0.308043,0.394271,0.140421
64,0.308043,0.377663,0.121899
65,0.308043,0.393064,0.143635
66,0.308043,0.380954,0.126553
67,0.307555,0.383113,0.132050
68,0.307555,0.395465,0.147332
69,0.307555,0.394063,0.141359
70,0.307555,0.386514,0.142356
71,0.307555,0.390037,0.141691
72,0.307555,0.382088,0.136537
73,0.307555,0.391689,0.140492
74,0.307068,0.395280,0.152463
75,0.307068,0.412336,0.171503
76,0.307068,0.381376,0.135998
77,0.307068,0.393940,0.147427
78,0.307068,0.415031,0.168737
79,0.307068,0.406437,0.155535
80,0.307068,0.394463,0.139573
81,0.307068,0.393775,0.150685
82,0.306113,0.386912,0.144552
83,0.306113,0.398657,0.151575
84,0.306113,0.392281,0.139061
85,0.306113,0.399485,0.154682
86,0.306113,0.391589,0.149948
87,0.306113,0.394874,0.152043
88,0.306113,0.376902,0.130417
89,0.305526,0.393828,0.155589
90,0.305340,0.406388,0.158872
91,0.305340,0.400119,0.153778
92,0.305340,0.414997,0.168500
93,0.305340,0.405153,0.156107
94,0.305340,0.391821,0.145917
95,0.305340,0.379079,0.127889
96,0.305340,0.387789,0.143020
97,0.305340,0.397879,0.151989
98,0.305340,0.398385,0.153529
99,0.305340,0.393083,0.148787
100,0.305340,0.397260,0.149147
101,0.305340,0.393442,0.145795
102,0.305340,0.384848,0.138787
103,0.305340,0.396724,0.146647
104,0.305340,0.380983,0.136337
105,0.305340,0.392100,0.146468
106,0.304776,0.381743,0.131123
107,0.304776,0.388633,0.145390
108,0.304776,0.382174,0.136918
109,0.304776,0.383929,0.131048
110,0.304776,0.386460,0.148023
111,0.304776,0.370983,0.108687
112,0.304776,0.374987,0.125718
113,0.304776,0.384761,0.133443
114,0.304776,0.365464,0.106636
115,0.304776,0.378703,0.134193
116,0.304776,0.373438,0.119302
117,0.304776,0.370704,0.113398
118,0.304776,0.387915,0.139908
119,0.304776,0.377218,0.120739
120,0.304776,0.362648,0.110883
121,0.304776,0.392595,0.150907
122,0.304776,0.386770,0.140776
123,0.304776,0.378840,0.131566
124,0.304776,0.378824,0.134913
125,0.304776,0.387709,0.143342
126,0.304776,0.381816,0.124868
127,0.304776,0.388164,0.145046
128,0.304776,0.381672,0.128219
129,0.304032,0.376969,0.124510
130,0.304032,0.389087,0.153659
131,0.304032,0.365094,0.110140
132,0.304032,0.397419,0.158842
133,0.304032,0.376974,0.134650
134,0.304032,0.373994,0.124747
135,0.304032,0.377161,0.140192
136,0.304032,0.377705,0.133837
137,0.304032,0.379916,0.134806
138,0.303227,0.382663,0.137931
139,0.303227,0.383372,0.139687
140,0.303227,0.385723,0.138865
141,0.303227,0.371039,0.126255
142,0.303227,0.380911,0.136247
143,0.303227,0.384343,0.136693
144,0.303227,0.374514,0.123439
145,0.303227,0.379756,0.130793
146,0.303227,0.378840,0.124408
147,0.303227,0.371609,0.122568
148,0.303227,0.370865,0.117983
149,0.303227,0.390120,0.150515
150,0.303227,0.370573,0.116097
151,0.303227,0.387482,0.139400
152,0.303227,0.388791,0.139532
153,0.303227,0.366466,0.107770
154,0.303227,0.381242,0.139908
155,0.303227,0.377389,0.127611
156,0.303227,0.374320,0.123067
157,0.303227,0.381319,0.141642
158,0.303227,0.382498,0.138054
159,0.303227,0.388164,0.149787
160,0.303227,0.391127,0.154343
161,0.303227,0.396379,0.166073
162,0.303227,0.383673,0.134891
163,0.303227,0.394265,0.152943
164,0.303227,0.386207,0.137955
165,0.303227,0.386031,0.138065
166,0.303227,0.382967,0.137517
167,0.303227,0.377021,0.125858
168,0.303227,0.395636,0.150533
169,0.303227,0.389027,0.151263
170,0.303227,0.380619,0.143150
171,0.302964,0.390155,0.144895
172,0.302964,0.383675,0.138754
173,0.302964,0.385491,0.138257
174,0.302964,0.387078,0.140260
175,0.302964,0.388016,0.140203
176,0.302964,0.383005,0.139595
177,0.302964,0.380221,0.136738
178,0.302964,0.380145,0.131835
179,0.302707,0.379125,0.120004
180,0.302707,0.379187,0.123096
181,0.302707,0.383096,0.132159
182,0.302707,0.394629,0.143362
183,0.302707,0.396466,0.156200
184,0.302707,0.381945,0.136478
185,0.302707,0.388792,0.135312
186,0.302707,0.380016,0.127759
187,0.302707,0.365310,0.101516
188,0.302707,0.377511,0.122980
189,0.302707,0.390943,0.137564
190,0.302707,0.372853,0.111238
191,0.302707,0.372972,0.110890
192,0.302707,0.374261,0.127766
